Country,"Subnational unit (province, state)",Plant name,Unit name,Wiki URL,Capacity (MW),Start year,Retired year,GEM unit/phase ID,Regions,2017,2018,2019,2020,2021,2022,2023,Sequence/status uncertainty,Year of first announcement for planned retire,Notes,Reason for planned retire,Reason for change in planned retire,Sources,Age at last planned retirement date,Reviewed
Argentina,Buenos Aires,San Nicolás power station,Unit 5,https://www.gem.wiki/San_Nicolás_power_station,375,1983,,G100000108783,"Argentina, Global, Latin America, Americas, Latin America and the Caribbean, G20, no, no, BRICS+6, no",,,,,,,2026,,2023,,,,,,
Australia,New South Wales,Bayswater power station,Unit 1,https://www.gem.wiki/Bayswater_power_station,685,1985,,G100000100679,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",2035,2035,2035,2035,2035,2033,2033,,,,,,,,
Australia,New South Wales,Bayswater power station,Unit 2,https://www.gem.wiki/Bayswater_power_station,660,1985,,G100000100680,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",2035,2035,2035,2035,2035,2033,2033,,,,,,,,
Australia,New South Wales,Bayswater power station,Unit 3,https://www.gem.wiki/Bayswater_power_station,660,1986,,G100000100681,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",2035,2035,2035,2035,2035,2033,2033,,,,,,,,
Australia,New South Wales,Bayswater power station,Unit 4,https://www.gem.wiki/Bayswater_power_station,660,1986,,G100000100682,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",2035,2035,2035,2035,2035,2033,2033,,,,,,,,
Australia,Western Australia,Bluewaters power station,Unit 1,https://www.gem.wiki/Bluewaters_power_station,233,2009,,G100000100962,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",,,,,,,2029,,2023,,,,,,
Australia,Western Australia,Bluewaters power station,Unit 2,https://www.gem.wiki/Bluewaters_power_station,233,2009,,G100000100963,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",,,,,,,2029,,2023,,,,,,
Australia,Queensland,Callide power station,Phase B Unit 1,https://www.gem.wiki/Callide_power_station,350,1989,,G100000101160,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",,2039,2028,2028,2028,2028,2028,,,,,,,,
Australia,Queensland,Callide power station,Phase B Unit 2,https://www.gem.wiki/Callide_power_station,350,1989,,G100000101161,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",,2039,2028,2028,2028,2028,2028,,,,,,,,
Australia,Queensland,Callide power station,Phase C Unit 2,https://www.gem.wiki/Callide_power_station,460,2001,,G100000101163,"Australia, Global, Australia/NZ, Oceania, Australia and New Zealand, G20, no, no, no, OECD",,,,,,2038,2038,,2022,,,,,,
